Date,Open,High,Low,Close,Adj Close,Volume
7/31/17,22.43,25.110001,22.290001,24.129999,24.129999,4397900
8/1/17,26.25,28.700001,25.299999,26.48,26.48,3757700
8/2/17,28.450001,31.190001,27.700001,31.059999,31.059999,3666200
8/3/17,33.389999,33.490002,26.51,27.200001,27.200001,5771200
8/4/17,27.74,27.76,25.51,25.84,25.84,1670600
8/7/17,25.719999,28.219999,24.700001,25.27,25.27,2618200
8/8/17,25.620001,25.9,24.440001,25.52,25.52,1311400
8/9/17,25,26.58,24.719999,26.33,26.33,982900
8/10/17,26,26.4,25.110001,25.440001,25.440001,597600
8/11/17,25.030001,25.924,24.209999,24.85,24.85,636500
8/14/17,25.110001,25.309999,24.5,24.959999,24.959999,554900
8/15/17,24.84,28.85,24.549999,28.59,28.59,2016300
8/16/17,28.85,30.209999,26.643,27.190001,27.190001,2240700
8/17/17,26.91,28.469,26,26.58,26.58,1332900
8/18/17,26.59,27.245001,25.309999,26.700001,26.700001,1145700
8/21/17,26.620001,28.540001,26.450001,27.559999,27.559999,1356600
8/22/17,25.639999,27.299999,25.200001,25.27,25.27,2021100
8/23/17,25.049999,26.18,25,25.75,25.75,918300
8/24/17,25.74,26.073,25.101,25.790001,25.790001,1579600
8/25/17,25.469999,25.799999,24.870001,24.889999,24.889999,973100
8/28/17,24.799999,25.125999,24.51,24.83,24.83,675700
8/29/17,24.549999,24.790001,23.6,23.870001,23.870001,923500
8/30/17,23.65,23.870001,22.66,23.040001,23.040001,1453100
8/31/17,22.09,23.370001,22.07,22.290001,22.290001,955000
9/1/17,22.15,23.68,22.15,23.6,23.6,998700
9/5/17,23.59,25.190001,23.254999,24.99,24.99,1499800
9/6/17,24.620001,25.93,24.551001,25.860001,25.860001,1371200
9/7/17,26.049999,26.049999,25.209999,25.360001,25.360001,1562500
9/8/17,26.4,26.4,24.01,24.1,24.1,1668700
9/11/17,24.299999,26.040001,24.16,25.82,25.82,1254600
9/12/17,25.85,26.247,25.01,25.41,25.41,647900
9/13/17,25.25,26.950001,25.25,26.889999,26.889999,931000
9/14/17,26.690001,27.959999,26.424999,26.719999,26.719999,790700
9/15/17,26.5,27.35,26.049999,26.530001,26.530001,2091500
9/18/17,26.690001,27.125,25.6,26.92,26.92,702100
9/19/17,26.92,27.299999,26.360001,26.58,26.58,464600
9/20/17,26.58,27.290001,26.379999,27.280001,27.280001,564900
9/21/17,27.040001,27.35,26.129999,26.25,26.25,380500
9/22/17,26.389999,28,26.200001,27.969999,27.969999,989300
9/25/17,27.870001,28.695,25.639999,26.02,26.02,1518500
9/26/17,26,26.517,25.040001,25.209999,25.209999,1061300
9/27/17,25.32,25.780001,25.030001,25.24,25.24,755000
9/28/17,25.35,25.73,24.889999,25.42,25.42,414000
9/29/17,25.209999,25.540001,24.65,25.09,25.09,825600
10/2/17,24.969999,25.469999,24.809999,25.049999,25.049999,416200
10/3/17,24.9,25.190001,24.808001,24.92,24.92,543100
10/4/17,24.83,25.27,24.809999,24.92,24.92,417500
10/5/17,24.809999,25.32,24.549999,25,25,840300
10/6/17,24.9,25.01,24.049999,25,25,771500
10/9/17,25,26.59,25,26.33,26.33,1251600
10/10/17,26.49,26.49,25.01,25.33,25.33,643700
10/11/17,25.280001,25.92,25.200001,25.33,25.33,374900
10/12/17,25.280001,25.700001,25.07,25.65,25.65,339700
10/13/17,25.41,26.15,25.236,26.030001,26.030001,434900
10/16/17,25.610001,25.987,25.33,25.76,25.76,276000
10/17/17,25.559999,27.200001,25.549999,26.99,26.99,1253500
10/18/17,26.76,27.67,25.825001,26.08,26.08,842500
10/19/17,26.15,26.309999,25.030001,25.68,25.68,684500
10/20/17,25.76,26,25.18,25.25,25.25,573300
10/23/17,25.25,25.708,24.25,24.34,24.34,643700
10/24/17,24.25,24.716999,23.85,24.09,24.09,636300
10/25/17,23.969999,24.486,23.120001,23.4,23.4,617100
10/26/17,23.379999,23.5,22.799999,23.110001,23.110001,430100
10/27/17,23.059999,23.26,22.700001,23.01,23.01,716400
10/30/17,22.860001,23.65,22.719999,23.280001,23.280001,725800
10/31/17,23.200001,23.809999,23.120001,23.540001,23.540001,375100
11/1/17,23.74,23.74,23.1,23.280001,23.280001,259100
11/2/17,23.1,24.25,23.049999,23.74,23.74,373000
11/3/17,23.51,23.6,22.719999,22.9,22.9,510000
11/6/17,22.799999,23.007,22.23,22.540001,22.540001,471400
11/7/17,22.360001,23.205,22.25,22.950001,22.950001,515600
11/8/17,22.93,22.950001,21.51,21.700001,21.700001,661000
11/9/17,21.76,23.299999,21.76,23.200001,23.200001,1137100
11/10/17,21,21.700001,19.809999,20.93,20.93,2237100
11/13/17,20.809999,21.639999,20.73,21.290001,21.290001,684500
11/14/17,21.299999,21.33,20.76,21.15,21.15,536600
11/15/17,21.190001,21.799999,20.851999,21.76,21.76,478200
11/16/17,21.74,21.74,21.030001,21.049999,21.049999,406300
11/17/17,21,21.35,20.99,21.120001,21.120001,337500
11/20/17,20.940001,21.33,20.809999,20.85,20.85,633400
11/21/17,21,21.190001,20.76,20.780001,20.780001,419800
11/22/17,20.68,20.723,19.5,19.940001,19.940001,935900
11/24/17,20.110001,20.43,19.9,20.08,20.08,200900
11/27/17,20.25,21.530001,20.059999,21.43,21.43,918100
11/28/17,23.33,23.48,21.51,22.860001,22.860001,1013000
11/29/17,23.200001,23.365999,22.77,22.809999,22.809999,844700
11/30/17,23.15,23.15,22.4,22.780001,22.780001,255100
12/1/17,22.299999,23.76,22.02,23.440001,23.440001,810800
12/4/17,23.879999,24.775999,23.67,24.690001,24.690001,783000
12/5/17,24.6,25.85,24.011,24.73,24.73,1217400
12/6/17,24.84,25.450001,24.523001,25.07,25.07,283100
12/7/17,24.92,25.299999,24.049999,24.32,24.32,624200
12/8/17,24.450001,24.620001,24.01,24.110001,24.110001,519500
12/11/17,24.24,25.379999,24.1,24.540001,24.540001,810800
12/12/17,24.52,27.57,24.5,26.940001,26.940001,1294000
12/13/17,26.85,26.85,23.75,24.290001,24.290001,910300
12/14/17,24.5,25.879999,24.358999,25.299999,25.299999,448700
12/15/17,26.129999,26.32,25.545,26.01,26.01,593700
12/18/17,26.18,26.261999,25.780001,25.9,25.9,334900
12/19/17,25.6,26.705,25.58,26.25,26.25,418000
12/20/17,26.9,26.92,26.059999,26.48,26.48,331900
12/21/17,26.790001,28.48,25.82,27.25,27.25,763500
12/22/17,27.34,27.448999,26.48,27,27,362800
12/26/17,26.790001,27.76,26.309999,27.32,27.32,173500
12/27/17,27.110001,28.209999,27.01,27.9,27.9,285300
12/28/17,28.280001,29.65,27.895,29.49,29.49,457600
12/29/17,29.299999,31.32,29.030001,31.32,31.32,478700
1/2/18,31.41,31.5,29.76,31.07,31.07,522500
1/3/18,30.940001,31.07,28,28.200001,28.200001,739900
1/4/18,28.389999,28.700001,26.67,27.34,27.34,478400
1/5/18,27.379999,28.49,27.309999,28.200001,28.200001,303000
1/8/18,27.540001,28.200001,27.299999,27.68,27.68,186500
1/9/18,27.73,27.9,26.790001,26.93,26.93,208400
1/10/18,26.83,27.32,26.120001,27.32,27.32,251600
1/11/18,27.6,27.6,26.799999,26.93,26.93,247600
1/12/18,26.9,27.26,26.5,26.59,26.59,139700
1/16/18,26.950001,26.98,25.959999,26.1,26.1,203400
1/17/18,26,26.290001,25.25,26.17,26.17,221700
1/18/18,26.059999,27.27,26,26.950001,26.950001,253000
1/19/18,26.84,27.169001,26.049999,26.08,26.08,555400
1/22/18,25.9,25.9,23.91,23.959999,23.959999,941900
1/23/18,24.049999,24.23,22.99,23.17,23.17,1134700
1/24/18,22.309999,22.49,21.42,22.120001,22.120001,4226500
1/25/18,22.41,22.41,21.9,22.309999,22.309999,2350600
1/26/18,22.5,23.459999,22.33,23.01,23.01,1422600
1/29/18,23.389999,23.4,21.18,21.290001,21.290001,2046800
1/30/18,21.09,21.289,20.17,20.43,20.43,2380000
1/31/18,21,21,20.15,20.299999,20.299999,1818100
2/1/18,20.389999,20.719999,19.5,19.700001,19.700001,2913300
2/2/18,19.690001,20.040001,19.370001,19.76,19.76,1978900
2/5/18,20.17,20.33,19.629999,19.66,19.66,1561600
2/6/18,19.5,22.254999,19.18,22.030001,22.030001,2965600
2/7/18,22,24,21.709999,23,23,3290900
2/8/18,22.83,22.975,21.799999,22.040001,22.040001,1354400
2/9/18,21.93,22.290001,21.41,22.08,22.08,1172300
2/12/18,22.43,22.889999,21.809999,22.67,22.67,994200
2/13/18,22.5,22.639999,21.77,22,22,973300
2/14/18,21.99,23.18,21.563999,22.59,22.59,1413100
2/15/18,22.59,22.85,22.23,22.73,22.73,810800
2/16/18,22.879999,23.110001,22.690001,22.950001,22.950001,1039700
2/20/18,22.799999,23,21.860001,21.9,21.9,977700
2/21/18,21.950001,22.209,20.83,21.299999,21.299999,1355200
2/22/18,21.360001,21.690001,20.91,21.57,21.57,1523000
2/23/18,19.9,21.43,19.4,20.959999,20.959999,5126900
2/26/18,20.66,20.879999,20.02,20.620001,20.620001,3393800
2/27/18,20.74,21.16,20.469999,20.6,20.6,1539200
2/28/18,20.6,20.700001,20.200001,20.59,20.59,1268900
3/1/18,20.5,21,20.327999,20.58,20.58,1520400
3/2/18,20.51,21.5,20.5,21.43,21.43,1361600
3/5/18,21.41,22.280001,21.121,21.9,21.9,1396400
3/6/18,22.08,23.049999,21.921,23,23,1539300
3/7/18,22.91,23.450001,22.57,23.01,23.01,1331400
3/8/18,23.01,23.82,23.01,23.66,23.66,1489600
3/9/18,23.280001,23.84,22.870001,22.98,22.98,1231900
3/12/18,22.92,23.41,22.577,22.74,22.74,1143800
3/13/18,22.870001,23.49,22.530001,22.76,22.76,1244100
3/14/18,22.74,22.74,21.879999,22.25,22.25,1707000
3/15/18,22.299999,22.385,21.23,21.379999,21.379999,2513700
3/16/18,21.309999,21.629999,21.01,21.35,21.35,6707100
3/19/18,21.32,21.799999,21,21.58,21.58,1481400
