Date,Open,High,Low,Close,Adj Close,Volume
7/31/17,45.389999,45.43,44.360001,45.16,45.16,972100
8/1/17,45.599998,45.830002,44.580002,45.470001,45.470001,899800
8/2/17,45.759998,45.759998,44.580002,45.459999,45.459999,776400
8/3/17,45.619999,45.950001,45.189999,45.419998,45.419998,451000
8/4/17,45.52,45.860001,45.040001,45.240002,45.240002,885500
8/7/17,45.509998,47.799999,45.509998,47.5,47.5,1934300
8/8/17,47.330002,48.73,46.740002,47.93,47.93,3426700
8/9/17,45.029999,45.25,42.990002,43.59,43.59,5372500
8/10/17,43.529999,43.549999,40.060001,40.5,40.5,3977300
8/11/17,40.48,42.25,40.423,40.970001,40.970001,1688800
8/14/17,41.939999,42,41.32,41.580002,41.580002,1095400
8/15/17,41.650002,42.119999,40.77,40.849998,40.849998,1721900
8/16/17,41.040001,41.220001,40.299999,40.509998,40.509998,1408100
8/17/17,40.23,40.415001,38.810001,38.990002,38.990002,1474100
8/18/17,39.07,39.209999,38.240002,38.639999,38.639999,1061500
8/21/17,38.689999,38.889999,38.169998,38.619999,38.619999,1938700
8/22/17,38.630001,38.740002,38.130001,38.200001,38.200001,1083200
8/23/17,37.84,38.459999,37.84,38.32,38.32,1054600
8/24/17,38.73,38.847,38,38.48,38.48,1151100
8/25/17,38.75,39.009998,37.880001,37.919998,37.919998,1067800
8/28/17,38.02,38.360001,37.689999,38.209999,38.209999,563800
8/29/17,37.82,39.599998,37.759998,39.439999,39.439999,1276700
8/30/17,39.73,39.73,39,39.400002,39.400002,668800
8/31/17,39.560001,39.919998,39.200001,39.619999,39.619999,710700
9/1/17,39.82,39.950001,39.41,39.669998,39.669998,888700
9/5/17,39.66,39.779999,38.599998,39.040001,39.040001,453800
9/6/17,39.209999,39.290001,38.48,38.799999,38.799999,552800
9/7/17,38.790001,39.220001,38.450001,38.84,38.84,542700
9/8/17,38.720001,38.790001,37.68,37.799999,37.799999,828100
9/11/17,38.240002,39.169998,38,39.110001,39.110001,780200
9/12/17,39.41,40.945,38.799999,40.610001,40.610001,1627700
9/13/17,40.209999,40.457001,38.130001,39.049999,39.049999,3942800
9/14/17,38.75,40.09,38.52,40,40,1340000
9/15/17,39.799999,40.639999,39.580002,40.34,40.34,1413400
9/18/17,40.560001,40.980999,40.299999,40.77,40.77,910100
9/19/17,40.959999,40.959999,39.830002,40.02,40.02,3011200
9/20/17,39.790001,40.450001,39.73,40.279999,40.279999,607200
9/21/17,40.09,40.34,39.630001,39.919998,39.919998,858100
9/22/17,39.439999,40.169998,39.099998,39.099998,39.099998,728500
9/25/17,38.77,39.169998,38.25,39.110001,39.110001,2538800
9/26/17,39.599998,39.830002,38.759998,39.02,39.02,1186400
9/27/17,39.330002,39.91,39.080002,39.18,39.18,797200
9/28/17,39.16,40.040001,38.919998,39.619999,39.619999,1255700
9/29/17,39.669998,40.889999,39.669998,40.209999,40.209999,2211800
10/2/17,40.209999,40.77,39.900002,40.599998,40.599998,876800
10/3/17,40.799999,41.09,40.43,40.950001,40.950001,1202200
10/4/17,41.029999,42.060001,40.970001,41.91,41.91,1237000
10/5/17,41.75,42.049999,41.040001,41.689999,41.689999,1082200
10/6/17,41.419998,42.41,41.299999,42.119999,42.119999,1125000
10/9/17,42.310001,42.98,42.080002,42.130001,42.130001,927200
10/10/17,42.279999,42.470001,41.73,41.869999,41.869999,563600
10/11/17,42.060001,42.189999,41.369999,41.41,41.41,810000
10/12/17,41.400002,42.064999,41.23,41.709999,41.709999,775000
10/13/17,41.880001,42.07,41.439999,41.549999,41.549999,827700
10/16/17,41.5,41.709999,41.080002,41.139999,41.139999,687500
10/17/17,41.119999,41.66,41,41.619999,41.619999,947500
10/18/17,41.82,42,40.98,41.02,41.02,492000
10/19/17,40.959999,41.23,40.509998,41.189999,41.189999,443900
10/20/17,41.200001,41.509998,41.09,41.25,41.25,519200
10/23/17,41.200001,41.490002,40.68,40.93,40.93,561000
10/24/17,41,41.400002,40.77,41.099998,41.099998,457600
10/25/17,40.98,41.209999,40.23,40.599998,40.599998,591100
10/26/17,40.790001,41.610001,40.279999,41.43,41.43,674100
10/27/17,41.439999,41.799999,40.740002,41.139999,41.139999,992500
10/30/17,41.119999,41.41,40.75,40.880001,40.880001,827800
10/31/17,41,41.375,40.459999,41.279999,41.279999,1354800
11/1/17,41.459999,41.459999,40.099998,40.299999,40.299999,967300
11/2/17,40.490002,40.619999,39.34,39.509998,39.509998,1257700
11/3/17,39.650002,40.529999,39.16,40.48,40.48,1082400
11/6/17,40.450001,42.450001,40.189999,40.82,40.82,1185300
11/7/17,40.810001,41.16,39.5,39.970001,39.970001,1917400
11/8/17,41.369999,41.490002,38.919998,41.040001,41.040001,3212800
11/9/17,40.75,41.880001,39.790001,40.380001,40.380001,1520800
11/10/17,40.009998,40.23,38.759998,39.540001,39.540001,1413300
11/13/17,39.220001,39.610001,38.950001,39.119999,39.119999,873600
11/14/17,38.790001,39.639999,38.790001,39.07,39.07,593900
11/15/17,38.779999,39.970001,38.630001,39.869999,39.869999,1630800
11/16/17,39.740002,41.110001,39.650002,40.869999,40.869999,969200
11/17/17,41.049999,41.259998,40.834999,40.889999,40.889999,512100
11/20/17,41.049999,41.610001,40.740002,40.939999,40.939999,942800
11/21/17,41,41.422001,40.740002,41.360001,41.360001,1153500
11/22/17,41.189999,41.75,40.630001,41.700001,41.700001,626900
11/24/17,41.700001,42.150002,41.52,42.029999,42.029999,234700
11/27/17,41.82,42.860001,41.549999,42.59,42.59,637300
11/28/17,42.709999,42.709999,42.07,42.360001,42.360001,778000
11/29/17,42.299999,42.439999,40.630001,40.869999,40.869999,854100
11/30/17,41.25,41.580002,40.493,41.040001,41.040001,906300
12/1/17,40.93,41.009998,39.779999,40.810001,40.810001,680700
12/4/17,41.220001,41.509998,39.860001,39.990002,39.990002,662000
12/5/17,39.91,40.419998,39.84,40.330002,40.330002,537300
12/6/17,40.23,41.32,40.09,40.810001,40.810001,623000
12/7/17,40.75,41.73,40.75,41.130001,41.130001,809700
12/8/17,41.400002,41.720001,40.130001,40.18,40.18,651200
12/11/17,40.27,41.220001,40.27,40.849998,40.849998,675100
12/12/17,40.84,41.040001,40.34,40.52,40.52,432700
12/13/17,40.639999,41.880001,40.540001,41.77,41.77,739900
12/14/17,41.93,41.990002,40.700001,40.720001,40.720001,531800
12/15/17,40.709999,41.700001,40.700001,41.220001,41.220001,702500
12/18/17,41.740002,41.869999,41.130001,41.790001,41.790001,500900
12/19/17,41.779999,43.43,41.5,43.209999,43.209999,788500
12/20/17,43.299999,43.360001,42.369999,43.07,43.07,621600
12/21/17,43.080002,43.09,42.169998,42.369999,42.369999,760100
12/22/17,42.459999,42.720001,42.200001,42.34,42.34,428900
12/26/17,42.209999,42.880001,41.831001,42,42,419500
12/27/17,42.110001,42.272999,41.400002,41.59,41.59,390500
12/28/17,41.84,41.900002,41.16,41.419998,41.419998,464700
12/29/17,41.52,41.799,40.830002,40.919998,40.919998,791400
1/2/18,41.310001,42.5,40.889999,42.48,42.48,698100
1/3/18,42.470001,43.349998,42.360001,42.970001,42.970001,535900
1/4/18,43.049999,43.310001,41.52,42.130001,42.130001,884700
1/5/18,42.220001,42.75,42.064999,42.610001,42.610001,521200
1/8/18,42.549999,43.276001,42.487999,42.759998,42.759998,724800
1/9/18,42.779999,42.869999,41.990002,42.169998,42.169998,429200
1/10/18,42.150002,42.509998,41.5,42.5,42.5,854000
1/11/18,44,46.310001,44,44.529999,44.529999,2265500
1/12/18,44.59,45.330002,44.299999,44.529999,44.529999,1215400
1/16/18,44.599998,45.52,44.16,44.400002,44.400002,1030300
1/17/18,44.889999,44.957001,44.279999,44.540001,44.540001,995100
1/18/18,44.610001,44.73,43.849998,43.970001,43.970001,942900
1/19/18,44.189999,44.189999,42.040001,42.580002,42.580002,2126400
1/22/18,42.43,43.139999,42.200001,42.93,42.93,983200
1/23/18,42.869999,43.779999,42.669998,43.720001,43.720001,1000400
1/24/18,43.669998,44.279999,43.509998,43.720001,43.720001,698100
1/25/18,44.07,44.27,43.349998,44.200001,44.200001,836700
1/26/18,44.57,46.130001,44.57,46.040001,46.040001,1089800
1/29/18,45.990002,46.310001,44.939999,45.189999,45.189999,853200
1/30/18,44.84,45.080002,44.330002,44.77,44.77,686800
1/31/18,45.25,45.34,44.25,44.459999,44.459999,793900
2/1/18,44.110001,45.709999,44.110001,44.700001,44.700001,867400
2/2/18,45,45.209999,43.915001,44.16,44.16,925400
2/5/18,43.360001,45.02,42.610001,43.93,43.93,1848000
2/6/18,42.68,44.200001,42.68,43.509998,43.509998,1564300
2/7/18,43.509998,45.18,43.48,44.549999,44.549999,1275000
2/8/18,44.93,47.259998,43.540001,46.360001,46.360001,3521900
2/9/18,43,46.800999,42.419998,45.119999,45.119999,4311000
2/12/18,45.029999,45.48,43,44.27,44.27,1815600
2/13/18,44.18,44.939999,43.5,44.720001,44.720001,1415100
2/14/18,44.549999,47.119999,44.389999,46.970001,46.970001,1472100
2/15/18,47,48.235001,46.349998,47.16,47.16,1556400
2/16/18,46.790001,47.509998,46.34,46.849998,46.849998,1550800
2/20/18,46.240002,47.75,46.169998,47.419998,47.419998,950300
2/21/18,47.259998,48.485001,46.419998,47.57,47.57,1835500
2/22/18,47.57,48.084999,47.200001,47.830002,47.830002,1170700
2/23/18,47.419998,47.584999,46.240002,46.689999,46.689999,1478800
2/26/18,46.82,47.009998,45.799999,46.27,46.27,1135600
2/27/18,46.41,47.610001,46.330002,46.790001,46.790001,1158300
2/28/18,47.119999,48.209999,46.360001,47.669998,47.669998,1448500
3/1/18,47.529999,48.18,47.43,47.959999,47.959999,1393700
3/2/18,47.709999,49.34,47.130001,49.209999,49.209999,1414300
3/5/18,48.91,51.52,48.759998,51.48,51.48,2366800
3/6/18,51.470001,52.880001,51.459999,52.849998,52.849998,1700600
3/7/18,52.5,54.200001,52.330002,53.950001,53.950001,1721700
3/8/18,53.57,54.580002,53.540001,53.77,53.77,1167000
3/9/18,54,55.299999,53.939999,55.189999,55.189999,1091900
3/12/18,55,57.110001,55,56.970001,56.970001,1636900
3/13/18,55,57.240002,55,57.240002,57.240002,1666900
3/14/18,57.599998,58.93,56.860001,58.639999,58.639999,1286200
3/15/18,59,59.990002,57.959999,58.200001,58.200001,1702600
3/16/18,58.330002,58.759998,57.360001,58.610001,58.610001,1903500
3/19/18,58.209999,58.700001,56.66,57.18,57.18,1313800
3/20/18,57.32,57.689999,56.389999,57.369999,57.369999,1269100
3/21/18,57.529999,57.98,56.889999,57.27,57.27,666100
3/22/18,57.080002,57.240002,55.32,55.580002,55.580002,1448200
3/23/18,55.369999,56,54.130001,54.220001,54.220001,1685700
3/26/18,54.84,55.939999,54.5,55.799999,55.799999,1092200
3/27/18,55.959999,56.189999,53.549999,53.700001,53.700001,1011100
3/28/18,53.52,53.900002,52.540001,53.470001,53.470001,1100400
3/29/18,53.41,54.360001,52.130001,53.799999,53.799999,1903200
4/2/18,53.549999,53.790001,52.48,52.990002,52.990002,1727800
4/3/18,53.130001,54.389999,53.130001,53.52,53.52,2155600
4/4/18,52.830002,53.799999,51.220001,53.32,53.32,1457600
4/5/18,53.880001,54.169998,52.830002,52.939999,52.939999,1420600
4/6/18,52.700001,53.07,52.200001,52.68,52.68,2119100
4/9/18,53,53.369999,51.619999,51.740002,51.740002,998700
4/10/18,52.380001,54,52.25,53.549999,53.549999,2015600
4/11/18,53.41,54.049999,53.07,53.209999,53.209999,909000
4/12/18,53.209999,53.799999,52.459999,53.599998,53.599998,1352900
4/13/18,48.84,50.400002,48,50.099998,50.099998,13102900
4/16/18,50.5,50.52,49.200001,49.610001,49.610001,3073000
4/17/18,49.77,51.02,49.23,49.650002,49.650002,2699900
4/18/18,48.509998,49.191002,47.779999,48.810001,48.810001,2459700
4/19/18,48.490002,48.605,46.900002,46.959999,46.959999,2311500
4/20/18,47,47.970001,46.68,47.18,47.18,1944100
4/23/18,48.68,48.810001,47.369999,47.939999,47.939999,1936000
4/24/18,48.09,48.939999,47.439999,47.68,47.68,1945800
4/25/18,47.669998,48.32,46.880001,47.5,47.5,1501100
4/26/18,47.540001,48.029999,47.27,47.310001,47.310001,993700
4/27/18,47.610001,47.610001,46.25,47.259998,47.259998,1612600
4/30/18,47.290001,48.790001,47.290001,48.490002,48.490002,1631500
5/1/18,48.490002,49.779999,48.490002,49.720001,49.720001,2286400
5/2/18,49.639999,51.529999,49.639999,50.830002,50.830002,3053600
5/3/18,50.529999,51.610001,50.27,51.509998,51.509998,2226300
5/4/18,51.639999,53.139999,50.939999,52.849998,52.849998,2336500
5/7/18,52.919998,56.02,52.919998,55.91,55.91,4400800
5/8/18,51.5,57.099998,51.209999,55.099998,55.099998,8119100
5/9/18,55,56.779999,54.630001,56.380001,56.380001,2486200
5/10/18,56.540001,57.220001,54.810001,55.330002,55.330002,2667000
5/11/18,55.25,55.82,54.52,54.91,54.91,2436400
5/14/18,55.18,55.799999,54.400002,54.650002,54.650002,1146800
5/15/18,54.139999,54.395,51.970001,52.099998,52.099998,2548900
5/16/18,51.990002,53.580002,51.790001,53,53,1343200
5/17/18,53.200001,53.32,51.889999,52.115002,52.115002,1489000
5/18/18,52,52.150002,51.009998,51.669998,51.669998,1605000
5/21/18,51.98,52.330002,51.599998,51.869999,51.869999,876400
5/22/18,51.900002,52.150002,51.07,51.860001,51.860001,874700
5/23/18,51.5,54.639999,51.5,54.560001,54.560001,4138000
5/24/18,54.580002,56.529999,54.459999,56,56,4428100
5/25/18,55.990002,56.400002,55.290001,56.150002,56.150002,1946400
5/29/18,55.889999,56.380001,54.110001,54.759998,54.759998,2049200
5/30/18,55.189999,58.259998,54.995998,57.619999,57.619999,2643900
5/31/18,57.599998,59.400002,57.549999,58.330002,58.330002,2990700
6/1/18,59.889999,59.889999,58.369999,59.029999,59.029999,1677700
6/4/18,59.639999,60.220001,58.549999,59.330002,59.330002,1673400
6/5/18,59.639999,61.259998,59.619999,60.830002,60.830002,1518500
6/6/18,61.09,62.34,61.09,62.209999,62.209999,1244600
6/7/18,62.209999,62.540001,60.43,61.52,61.52,1244600
6/8/18,61.330002,62.669998,61.110001,62.43,62.43,1129300
6/11/18,62.599998,63.279999,62.25,62.650002,62.650002,982900
6/12/18,62.950001,65.029999,62.660999,64.339996,64.339996,1800600
6/13/18,64.339996,65.480003,63.810001,63.990002,63.990002,1499200
6/14/18,64.510002,65.300003,62.724998,65.089996,65.089996,1734000
6/15/18,65.089996,65.699997,64.394997,65.57,65.57,1990500
6/18/18,63.18,64.970001,62.549999,64.779999,64.779999,1776900
6/19/18,63.98,65.110001,62.73,63.080002,63.080002,1721100
6/20/18,63.91,64.870003,63.91,64.660004,64.660004,1176400
6/21/18,64.760002,65,61.779999,61.84,61.84,1400300
6/22/18,61.939999,62.43,60.654999,61.459999,61.459999,1791000
6/25/18,61.700001,61.950001,59.490002,60.75,60.75,1222500
6/26/18,60.740002,61.509998,60.145,60.799999,60.799999,1244100
6/27/18,60.91,61.799999,60.419998,60.700001,60.700001,1055100
6/28/18,57.619999,59.389999,57.5,58.619999,58.619999,3923700
6/29/18,58.849998,59.369999,57.049999,59.060001,59.060001,6212800
7/2/18,58.150002,60.57,58.150002,60.25,60.25,1816800
7/3/18,60.68,61.110001,59.66,60.290001,60.290001,518300
7/5/18,60.279999,61.02,59.59,60.799999,60.799999,1138600
7/6/18,60.689999,62.400002,60.419998,62.330002,62.330002,809200
7/9/18,62.529999,62.900002,60.689999,61.669998,61.669998,1707600
7/10/18,61.970001,62.110001,60.610001,60.939999,60.939999,811800
7/11/18,60.32,61.959999,59.271999,61.639999,61.639999,863100
